x,y,value
20,23,73
21,23,73
22,23,86
23,23,57
24,23,72
25,23,45
26,23,60
27,23,45
28,23,27
29,23,35
30,23,24
31,23,14
32,23,15
33,23,7
34,23,8
0,24,12
1,24,8
2,24,11
3,24,6
4,24,19
5,24,8
6,24,16
7,24,10
8,24,14
9,24,29
10,24,19
11,24,22
12,24,49
13,24,40
14,24,45
15,24,55
16,24,51
17,24,58
18,24,57
19,24,55
20,24,57
21,24,65
22,24,50
23,24,58
24,24,67
25,24,57
26,24,47
27,24,38
28,24,32
29,24,12
30,24,20
31,24,16
32,24,11
33,24,14
34,24,6
0,25,12
1,25,7
2,25,12
3,25,12
4,25,8
5,25,8
6,25,8
7,25,11
8,25,8
9,25,9
10,25,20
11,25,26
12,25,27
13,25,35
14,25,51
15,25,40
16,25,54
17,25,45
18,25,56
19,25,51
20,25,54
21,25,37
22,25,53
23,25,59
24,25,42
25,25,32
26,25,38
27,25,31
28,25,29
29,25,26
30,25,13
31,25,17
32,25,11
33,25,7
34,25,7
0,26,8
1,26,7
2,26,6
3,26,3
4,26,6
5,26,11
6,26,5
7,26,9
8,26,9
9,26,14
10,26,17
11,26,24
12,26,25
13,26,22
14,26,26
15,26,28
16,26,32
17,26,34
18,26,43
19,26,35
20,26,57
21,26,49
22,26,51
23,26,28
24,26,35
25,26,32
26,26,22
27,26,30
28,26,26
29,26,9
30,26,10
31,26,12
32,26,14
33,26,17
34,26,14
0,27,8
1,27,7
2,27,9
3,27,10
4,27,2
5,27,6
6,27,5
7,27,6
8,27,13
9,27,20
10,27,14
11,27,14
12,27,23
13,27,19
14,27,23
15,27,32
16,27,30
17,27,43
18,27,37
19,27,39
20,27,40
21,27,43
22,27,29
23,27,31
24,27,20
25,27,36
26,27,26
27,27,22
28,27,20
29,27,11
30,27,19
31,27,11
32,27,16
33,27,8
34,27,15
0,28,15
1,28,5
2,28,10
3,28,10
4,28,11
5,28,5
6,28,7
7,28,11
8,28,11
9,28,17
10,28,12
11,28,10
12,28,20
13,28,17
14,28,28
15,28,22
16,28,22
17,28,28
18,28,34
19,28,32
20,28,28
21,28,32
22,28,23
23,28,27
24,28,22
25,28,21
26,28,11
27,28,11
28,28,8
29,28,18
30,28,9
31,28,7
32,28,7
33,28,17
34,28,10
0,29,6
1,29,5
2,29,2
3,29,3
4,29,7
5,29,7
6,29,6
7,29,11
8,29,8
9,29,9
10,29,17
11,29,8
12,29,27
13,29,23
14,29,22
15,29,25
16,29,23
17,29,27
18,29,28
19,29,17
20,29,20
21,29,18
22,29,17
23,29,17
24,29,21
25,29,10
26,29,21
27,29,17
28,29,13
29,29,13
30,29,9
31,29,8
32,29,6
33,29,7
34,29,6
0,30,5
1,30,7
2,30,18
3,30,5
4,30,3
5,30,3
6,30,5
7,30,13
8,30,4
9,30,11
10,30,10
11,30,4
12,30,5
13,30,15
14,30,16
15,30,14
16,30,21
17,30,14
18,30,17
19,30,15
20,30,15
21,30,23
22,30,20
23,30,16
24,30,20
25,30,10
26,30,8
27,30,9
28,30,4
29,30,9
30,30,5
31,30,10
32,30,7
33,30,9
34,30,9
0,31,4
1,31,5
2,31,5
3,31,4
4,31,5
5,31,8
6,31,2
7,31,8
8,31,7
9,31,3
10,31,11
11,31,11
12,31,13
13,31,4
14,31,17
15,31,9
16,31,23
17,31,12
18,31,16
19,31,8
20,31,14
21,31,13
22,31,15
23,31,12
24,31,13
25,31,9
26,31,10
27,31,5
28,31,4
29,31,4
30,31,5
31,31,6
32,31,6
33,31,2
34,31,6
0,32,9
1,32,4
2,32,1
3,32,10
4,32,12
5,32,8
6,32,13
7,32,14
8,32,6
9,32,7
10,32,11
11,32,16
12,32,7
13,32,6
14,32,9
15,32,11
16,32,7
17,32,11
18,32,10
19,32,9
20,32,17
21,32,24
22,32,13
23,32,16
24,32,12
25,32,12
26,32,5
27,32,11
28,32,7
29,32,20
30,32,9
31,32,10
32,32,7
33,32,9
34,32,5
0,33,9
1,33,7
2,33,7
3,33,5
4,33,10
5,33,3
6,33,7
7,33,2
8,33,6
9,33,8
10,33,5
11,33,5
12,33,10
13,33,14
14,33,13
15,33,12
16,33,8
17,33,2
18,33,8
19,33,9
20,33,15
21,33,13
22,33,7
23,33,9
24,33,14
25,33,11
26,33,10
27,33,11
28,33,6
29,33,14
30,33,5
31,33,8
32,33,7
33,33,8
34,33,7
0,34,7
1,34,9
2,34,4
3,34,6
4,34,1
5,34,6
6,34,6
7,34,6
8,34,8
9,34,1
10,34,6
11,34,10
12,34,10
13,34,7
14,34,6
15,34,11
16,34,11
17,34,14
18,34,6
19,34,9
20,34,5
21,34,9
22,34,9
23,34,22
24,34,9
25,34,4
26,34,6
27,34,4
28,34,5
29,34,6
30,34,14
31,34,1
32,34,5
33,34,8
34,34,6
