x,y,value
49,18,0
0,19,0
1,19,2
2,19,2
3,19,0
4,19,1
5,19,2
6,19,0
7,19,5
8,19,1
9,19,4
10,19,4
11,19,5
12,19,3
13,19,7
14,19,10
15,19,7
16,19,9
17,19,14
18,19,15
19,19,17
20,19,15
21,19,12
22,19,26
23,19,11
24,19,11
25,19,19
26,19,21
27,19,20
28,19,19
29,19,21
30,19,15
31,19,16
32,19,23
33,19,16
34,19,12
35,19,9
36,19,6
37,19,11
38,19,5
39,19,3
40,19,3
41,19,3
42,19,1
43,19,0
44,19,0
45,19,0
46,19,0
47,19,0
48,19,0
49,19,1
0,20,0
1,20,0
2,20,1
3,20,1
4,20,0
5,20,1
6,20,2
7,20,1
8,20,4
9,20,2
10,20,6
11,20,7
12,20,7
13,20,9
14,20,11
15,20,7
16,20,10
17,20,17
18,20,12
19,20,20
20,20,15
21,20,17
22,20,20
23,20,28
24,20,18
25,20,29
26,20,18
27,20,21
28,20,16
29,20,25
30,20,14
31,20,13
32,20,18
33,20,16
34,20,10
35,20,10
36,20,9
37,20,13
38,20,11
39,20,2
40,20,8
41,20,0
42,20,2
43,20,1
44,20,3
45,20,1
46,20,0
47,20,0
48,20,0
49,20,1
0,21,1
1,21,0
2,21,0
3,21,0
4,21,0
5,21,1
6,21,0
7,21,1
8,21,1
9,21,3
10,21,4
11,21,5
12,21,7
13,21,8
14,21,5
15,21,11
16,21,3
17,21,16
18,21,14
19,21,16
20,21,15
21,21,16
22,21,17
23,21,20
24,21,15
25,21,20
26,21,22
27,21,14
28,21,22
29,21,10
30,21,21
31,21,14
32,21,14
33,21,12
34,21,16
35,21,11
36,21,8
37,21,2
38,21,4
39,21,2
40,21,5
41,21,1
42,21,6
43,21,1
44,21,1
45,21,0
46,21,0
47,21,1
48,21,1
49,21,0
0,22,0
1,22,0
2,22,0
3,22,2
4,22,0
5,22,1
6,22,1
7,22,3
8,22,3
9,22,4
10,22,2
11,22,2
12,22,4
13,22,7
14,22,10
15,22,6
16,22,11
17,22,19
18,22,8
19,22,22
20,22,19
21,22,12
22,22,18
23,22,20
24,22,16
25,22,18
26,22,24
27,22,14
28,22,21
29,22,21
30,22,21
31,22,8
32,22,13
33,22,13
34,22,11
35,22,9
36,22,7
37,22,6
38,22,6
39,22,4
40,22,7
41,22,2
42,22,0
43,22,1
44,22,1
45,22,1
46,22,1
47,22,0
48,22,0
49,22,0
0,23,0
1,23,0
2,23,0
3,23,1
4,23,1
5,23,1
6,23,1
7,23,0
8,23,3
9,23,3
10,23,4
11,23,2
12,23,8
13,23,7
14,23,10
15,23,7
16,23,7
17,23,10
18,23,15
19,23,13
20,23,11
21,23,8
22,23,21
23,23,28
24,23,18
25,23,21
26,23,21
27,23,16
28,23,15
29,23,9
30,23,9
31,23,17
32,23,11
33,23,3
34,23,10
35,23,10
36,23,9
37,23,3
38,23,1
39,23,2
40,23,4
41,23,3
42,23,0
43,23,1
44,23,0
45,23,1
46,23,0
47,23,1
48,23,0
49,23,0
0,24,0
1,24,1
2,24,0
3,24,0
4,24,0
5,24,0
6,24,3
7,24,2
8,24,5
9,24,1
10,24,0
11,24,6
12,24,7
13,24,6
14,24,5
15,24,5
16,24,7
17,24,8
18,24,12
19,24,14
20,24,9
21,24,9
22,24,12
23,24,10
24,24,16
25,24,8
26,24,11
27,24,18
28,24,12
29,24,18
30,24,16
31,24,14
32,24,7
33,24,11
34,24,7
35,24,6
36,24,6
37,24,6
38,24,4
39,24,1
40,24,1
41,24,3
42,24,2
43,24,1
44,24,2
45,24,0
46,24,0
47,24,0
48,24,0
49,24,2
0,25,0
1,25,1
2,25,0
3,25,0
4,25,1
5,25,0
6,25,2
7,25,2
8,25,3
9,25,2
10,25,3
11,25,1
12,25,7
13,25,1
14,25,4
15,25,8
16,25,8
17,25,4
18,25,9
19,25,15
20,25,11
21,25,8
22,25,8
23,25,4
24,25,5
25,25,13
26,25,11
27,25,7
28,25,13
29,25,14
30,25,10
31,25,9
32,25,5
33,25,12
34,25,3
35,25,2
36,25,7
37,25,6
38,25,0
39,25,1
40,25,4
41,25,0
42,25,0
43,25,0
44,25,1
45,25,0
46,25,0
47,25,0
48,25,1
49,25,0
0,26,0
1,26,0
2,26,1
3,26,0
4,26,1
5,26,2
6,26,2
7,26,3
8,26,2
9,26,6
10,26,1
11,26,7
12,26,4
13,26,4
14,26,5
15,26,4
16,26,7
17,26,3
18,26,5
19,26,7
20,26,11
21,26,11
22,26,7
23,26,8
24,26,14
25,26,10
26,26,9
27,26,6
28,26,9
29,26,8
30,26,9
31,26,12
32,26,5
33,26,7
34,26,7
35,26,3
36,26,4
37,26,4
38,26,4
39,26,2
40,26,4
41,26,2
42,26,0
43,26,1
44,26,0
45,26,1
46,26,0
47,26,0
48,26,0
49,26,0
0,27,0
1,27,1
2,27,2
3,27,1
4,27,0
5,27,0
6,27,0
7,27,1
8,27,2
9,27,1
10,27,2
11,27,1
12,27,3
13,27,3
14,27,2
15,27,5
16,27,3
17,27,6
18,27,7
19,27,5
20,27,4
21,27,2
22,27,8
23,27,4
24,27,9
25,27,10
26,27,8
27,27,2
28,27,8
29,27,10
30,27,4
31,27,4
32,27,4
33,27,5
34,27,6
35,27,1
36,27,1
37,27,0
38,27,3
39,27,3
40,27,2
41,27,1
42,27,1
43,27,1
44,27,0
45,27,1
46,27,0
47,27,1
48,27,0
49,27,0
0,28,0
1,28,0
2,28,0
3,28,0
4,28,0
5,28,0
6,28,1
7,28,1
8,28,0
9,28,1
10,28,1
11,28,5
12,28,2
13,28,3
14,28,0
15,28,4
16,28,4
17,28,4
18,28,2
19,28,4
20,28,3
21,28,4
22,28,5
23,28,9
24,28,5
25,28,7
26,28,7
27,28,5
28,28,5
29,28,1
30,28,1
31,28,4
32,28,5
33,28,4
34,28,8
35,28,1
36,28,4
37,28,2
38,28,3
39,28,2
40,28,0
41,28,0
42,28,0
43,28,0
44,28,0
45,28,0
46,28,0
47,28,0
48,28,0
49,28,0
0,29,0
1,29,0
2,29,0
3,29,1
4,29,1
5,29,0
6,29,2
7,29,0
8,29,4
9,29,0
10,29,1
11,29,5
12,29,0
13,29,2
14,29,3
15,29,1
16,29,5
17,29,0
18,29,3
19,29,3
20,29,0
21,29,4
22,29,11
23,29,6
24,29,3
25,29,7
26,29,5
27,29,4
28,29,6
29,29,2
30,29,3
31,29,3
32,29,4
33,29,3
34,29,1
35,29,3
36,29,2
37,29,1
38,29,1
39,29,3
40,29,3
41,29,0
42,29,2
43,29,1
44,29,1
45,29,0
46,29,0
47,29,0
48,29,1
49,29,0
0,30,1
1,30,0
2,30,0
3,30,2
4,30,0
5,30,1
6,30,0
7,30,1
8,30,0
9,30,0
10,30,2
11,30,2
12,30,4
13,30,4
14,30,2
15,30,2
16,30,1
17,30,1
18,30,2
19,30,3
20,30,2
21,30,2
22,30,3
23,30,3
24,30,2
25,30,1
26,30,4
27,30,6
28,30,3
29,30,5
30,30,3
31,30,2
32,30,8
33,30,1
34,30,0
35,30,2
36,30,2
37,30,1
38,30,1
39,30,1
40,30,0
41,30,0
42,30,0
43,30,1
44,30,0
45,30,0
46,30,1
47,30,1
48,30,0
49,30,0
0,31,0
1,31,0
2,31,0
3,31,0
4,31,0
5,31,0
6,31,0
7,31,0
8,31,0
9,31,1
10,31,3
11,31,1
12,31,0
13,31,1
14,31,1
15,31,3
16,31,1
17,31,0
18,31,3
19,31,2
20,31,4
21,31,1
22,31,2
23,31,2
24,31,2
25,31,1
26,31,4
27,31,0
28,31,3
29,31,2
30,31,2
31,31,1
32,31,1
33,31,1
34,31,1
35,31,0
36,31,3
37,31,2
38,31,0
39,31,0
40,31,1
41,31,0
42,31,0
43,31,0
44,31,0
45,31,0
46,31,0
47,31,0
48,31,0
49,31,0
0,32,1
1,32,1
2,32,0
3,32,1
4,32,0
5,32,1
6,32,0
7,32,2
8,32,2
9,32,0
10,32,0
11,32,0
12,32,0
13,32,1
14,32,1
15,32,3
16,32,3
17,32,1
18,32,2
19,32,2
20,32,0
21,32,5
22,32,3
23,32,1
24,32,3
25,32,2
26,32,0
27,32,0
28,32,1
29,32,2
30,32,1
31,32,0
32,32,0
33,32,1
34,32,0
35,32,0
36,32,0
37,32,0
38,32,0
39,32,0
40,32,0
41,32,0
42,32,1
43,32,0
44,32,0
45,32,0
46,32,0
47,32,0
48,32,0
49,32,0
0,33,0
1,33,0
2,33,0
3,33,1
4,33,0
5,33,0
6,33,0
7,33,0
8,33,0
9,33,1
10,33,0
11,33,1
12,33,2
13,33,2
14,33,0
15,33,1
16,33,0
17,33,0
18,33,1
19,33,4
20,33,0
21,33,4
22,33,3
23,33,0
24,33,2
25,33,0
26,33,1
27,33,4
28,33,2
29,33,0
30,33,0
31,33,1
32,33,1
33,33,1
34,33,3
35,33,1
36,33,0
37,33,0
38,33,0
39,33,1
40,33,0
41,33,0
42,33,0
43,33,0
44,33,0
45,33,0
46,33,0
47,33,0
48,33,0
49,33,0
0,34,0
1,34,0
2,34,0
3,34,0
4,34,0
5,34,0
6,34,0
7,34,0
8,34,0
9,34,0
10,34,1
11,34,0
12,34,1
13,34,1
14,34,0
15,34,1
16,34,1
17,34,0
18,34,1
19,34,0
20,34,1
21,34,0
22,34,1
23,34,1
24,34,1
25,34,2
26,34,0
27,34,2
28,34,0
29,34,0
30,34,1
31,34,2
32,34,0
33,34,0
34,34,0
35,34,0
36,34,0
37,34,0
38,34,0
39,34,0
40,34,0
41,34,0
42,34,0
43,34,0
44,34,0
45,34,0
46,34,0
47,34,0
48,34,0
49,34,0
0,35,0
1,35,0
2,35,0
3,35,0
4,35,0
5,35,0
6,35,0
7,35,0
8,35,0
9,35,0
10,35,0
11,35,0
12,35,0
13,35,0
14,35,0
15,35,0
16,35,1
17,35,1
18,35,1
19,35,0
20,35,1
21,35,3
22,35,0
23,35,0
24,35,0
25,35,1
26,35,0
27,35,3
28,35,0
29,35,0
30,35,1
31,35,0
32,35,1
33,35,1
34,35,0
35,35,0
36,35,0
37,35,0
38,35,1
39,35,0
40,35,1
41,35,0
42,35,0
43,35,0
44,35,0
45,35,0
46,35,0
47,35,0
48,35,0
49,35,0
0,36,0
1,36,0
2,36,0
3,36,0
4,36,0
5,36,0
6,36,0
7,36,1
8,36,1
9,36,1
10,36,0
11,36,1
12,36,0
13,36,0
14,36,0
15,36,0
16,36,1
17,36,1
18,36,2
19,36,0
20,36,0
21,36,1
22,36,1
23,36,0
24,36,0
25,36,0
26,36,0
27,36,1
28,36,1
29,36,0
30,36,1
31,36,0
32,36,0
33,36,1
34,36,0
35,36,1
